Mechanism,Noise,Entropy,Max_LLR,Latency,Overhead_Ratio,Total_Packets,Norm_Entropy,Norm_LLR_Inv,Norm_Latency_Inv,Norm_Overhead_Inv
backup_mixes,high_noise,7.911399082231348,61.95360512303088,1.5082313993777416,40.22819849217959,357508.0,0.9332321453724467,0.3909792407981345,0.9057853965012227,0.0
backup_mixes,no_noise,1.625108369622412,46.871209359180334,1.5154302584326358,18.15794474988122,267521.0,0.02606962928889802,0.5782029346755018,0.6086578768480563,0.9928943971803748
backup_mixes,normal,6.147728270012152,33.13300731552151,1.5167152186248196,21.003170962083388,311309.0,0.678720204277079,0.7487406247162474,0.5556221066176235,0.8648936411495527
baseline_errors,high_noise,8.077076862571438,32.57080616487439,1.5076802589340408,33.62444043037776,428140.0,0.9571407870410528,0.7557194480924739,0.9285333058252774,0.29708921594006765
baseline_errors,no_noise,1.4444557681596943,34.279679316532466,1.5208129292608705,19.19524345171139,238904.0,0.0,0.7345065354471156,0.386492166961636,0.9462285055564936
baseline_errors,normal,6.005423674727023,42.50685706349958,1.5133601162505161,22.47332909985712,283119.0,0.6581845019669432,0.6323793514048629,0.6941014460598235,0.7987543119416112
baseline_no_errors,high_noise,8.374074883980807,12.892015062214009,1.5160612937727511,31.60162656271004,470169.0,1.0,1.0,0.5826123654701819,0.388091366581263
baseline_no_errors,no_noise,1.5492274594410984,25.663100187546057,1.5183130246078131,18.0,264978.0,0.01511940115759008,0.8414675115661778,0.48967386051450024,1.0
baseline_no_errors,normal,6.264715042305538,80.24566407116697,1.517503836151062,20.762462747222976,306537.0,0.6956023402701371,0.16391273899601932,0.5230725084464924,0.8757225985634923
parallel_paths,high_noise,8.353509688614547,78.3076255671229,1.5294366177687995,26.338661954467,640925.0,0.9970322762301168,0.18797037103836167,0.030555878018676652,0.6248610989594707
parallel_paths,no_noise,2.3238957567376612,70.54787135227268,1.517332273897601,19.169082513551494,477406.0,0.12691029245317464,0.2842952434546403,0.5301536120558668,0.9474054312605313
parallel_paths,normal,6.300631752706175,93.45017226709012,1.5217107537306689,20.42188006482982,504012.0,0.700785411633848,0.0,0.34943513392891634,0.8910446986658906
path_reestablishment,high_noise,7.437184957536303,59.98703223954867,1.5301769310841455,33.58850178662583,526399.0,0.8647992175637075,0.4153910812835222,0.0,0.2987060200982893
path_reestablishment,no_noise,2.251377966790175,76.70126268518086,1.5207388214853577,19.420103314679295,451129.0,0.11644538973118815,0.2079107835015801,0.3895509099314933,0.9361125322333737
path_reestablishment,normal,6.3126936725936,42.27046255053089,1.505948750997369,20.494751216181616,480274.0,0.7025260440821577,0.6353138092074104,1.0,0.887766378500744
retransmission,high_noise,8.168608737269684,27.83017324662194,1.5232970140149873,27.528856825749166,644891.0,0.9703495757447881,0.8145667837657073,0.28396342789746853,0.5713167295540551
retransmission,no_noise,2.249286348784301,45.71476988921302,1.508179538192432,19.18864932058811,447652.0,0.1161435523616423,0.5925582713675546,0.9079259281104483,0.9465251616766737
retransmission,normal,6.295313277249648,77.97532537082257,1.523907046577599,20.523882765102964,480382.0,0.7000179126750115,0.19209534370196435,0.25878479044196,0.8864558112529485
